CountryName,CountryDiallingCode,TeamZone
Afghanistan,93,6
Aland Islands,35818,6
Albania,355,6
Algeria,213,6
American Samoa,1684,6
Andorra,376,6
Angola,244,6
Anguilla,1264,6
Argentina,54,6
Armenia,374,6
Aruba,297,6
Australia,61,4
Austria,43,2
Azerbaijan,994,6
Bahrain,973,6
Bangladesh,880,6
Barbados,1246,6
Belarus,375,6
Belgium,32,2
Belize,501,6
Benin,229,6
Bermuda,1441,6
Bhutan,975,6
Bolivia,591,6
Bosnia and Herzegovina,387,6
Botswana,267,6
Brazil,55,4
British Indian Ocean Territory,246,6
Brunei,673,6
Bulgaria,359,6
Burkina Faso,226,6
Burundi,257,6
Cambodia,855,6
Cameroon,237,6
Canada,1,3
Cape Verde,238,6
Cayman Islands,1345,6
Central African Republic,236,6
Chad,235,6
Chile,56,6
China,86,6
Christmas Island,61,4
Cocos (Keeling) Islands,166,6
Colombia,57,6
Comoros,269,6
Congo,242,6
Congo,242,6
Cook Islands,682,6
Costa Rica,506,6
Ivory Coast,225,6
Cuba,53,6
Cyprus,357,6
Czech Republic,420,4
Denmark,45,2
Djibouti,253,6
Dominica,1767,6
Dominican Republic,1809,6
Dominican Republic,1829,6
Timor-Leste,670,6
Ecuador,593,6
Egypt,20,6
El Salvador,503,6
Equatorial Guinea,240,6
Eritrea,291,6
Estonia,372,4
Ethiopia,251,6
Falkland Islands,500,6
Faroe Islands,298,6
Finland,358,4
France,33,2
French Polynesia,689,6
Gabon,241,6
Georgia,995,6
Germany,49,2
Ghana,233,6
Gibraltar,350,6
Greece,30,6
Greenland,299,6
Grenada,1473,6
Guadeloupe,590,6
Guam,1671,6
Guatemala,502,6
Guernsey,441481,6
Guinea,224,6
Guinea-Bissau,245,6
Guyana,592,6
Haiti,509,6
Honduras,504,6
Hungary,36,4
Iceland,354,6
India,91,6
Indonesia,62,6
Iran,98,6
Iraq,964,6
Ireland,353,2
Israel,972,5
Italy,39,2
Jamaica,1876,6
Japan,81,6
Jersey,441534,6
Jordan,962,6
Kazakhstan,7,6
Kenya,254,6
Kiribati,686,6
North Korea,850,6
South Korea,82,6
Kuwait,965,6
Kyrgyzstan,996,6
Laos,856,6
Latvia,371,4
Lebanon,961,6
Lesotho,266,6
Liberia,231,6
Libya,218,6
Liechtenstein,423,6
Lithuania,370,4
Luxembourg,352,4
Macedonia,389,6
Madagascar,261,6
Malawi,265,6
Malaysia,60,6
Maldives,960,6
Mali,223,6
Malta,356,6
Marshall Islands,692,6
Martinique,596,6
Mauritania,222,6
Mauritius,230,6
Mayotte,262,6
Mexico,52,5
Micronesia,691,6
Moldova,373,6
Monaco,377,6
Mongolia,976,6
Montenegro,382,6
Montserrat,1664,6
Morocco,212,6
Mozambique,258,6
Myanmar,95,6
Namibia,264,6
Nauru,674,6
Nepal,977,6
Netherlands,31,2
New Caledonia,687,6
New Zealand,64,4
Nicaragua,505,6
Niger,227,6
Nigeria,234,6
Niue,683,6
Norfolk Island,672,6
Northern Mariana Islands,1670,6
Norway,47,4
Oman,968,6
Pakistan,92,6
Palau,680,6
Panama,507,6
Paraguay,595,6
Peru,51,6
Philippines,63,6
Poland,48,4
Portugal,351,2
Puerto Rico,1787,5
Puerto Rico,1939,5
Qatar,974,6
Réunion,262,6
Romania,40,4
Russia,7,6
Rwanda,250,6
Saint Helena,290,6
Saint Lucia,1758,6
Saint Pierre and Miquelon,508,6
Samoa,685,6
San Marino,378,6
Sao Tome and Principe,239,6
Saudi Arabia,966,6
Senegal,221,6
Serbia,381,6
Seychelles,248,6
Sierra Leone,232,6
Singapore,65,5
Slovakia,421,4
Slovenia,386,4
Solomon Islands,677,6
Somalia,252,6
South Africa,27,4
South Sudan,211,6
Spain,34,2
Sri Lanka,94,6
Sudan,249,6
Suriname,597,6
Swaziland,268,6
Sweden,46,2
Switzerland,41,2
Syria,963,6
Taiwan,886,6
Tajikistan,992,6
Tanzania,255,6
Thailand,66,6
Togo,228,6
Tokelau,690,6
Tonga,676,6
Tunisia,216,6
Turkey,90,6
Turkmenistan,993,6
Tuvalu,688,6
Uganda,256,6
Ukraine,380,6
United Arab Emirates,971,6
United Kingdom,44,1
United States,1,3
United States Minor Outlying Islands,1,3
Uruguay,598,6
Uzbekistan,998,6
Vanuatu,678,6
Vatican City State (Holy See),379,6
Venezuela,58,6
Vietnam,84,6
Western Sahara,212,6
Yemen,967,6
Zambia,260,6
Zimbabwe,263,6
Hong Kong S.A.R.,852,6
